content,score
Subtitle kadang keluarnya telat,4
"Film nya jarang update, nggak bisa di andalkan untuk acara nonton keluarga.",1
"login dengan nomor negara Indonesia tidak bisa, gimana ya solusinya, rugi dah langganan",1
Mantap,5
Diaman sub indo yg young sheldon,4
Mantap👍 bisa nonton toei ambulan buat amblewagon 70an buatan made forj japans wkwkwk,5
Asik salah pengunduhan mulu,1
Diupdate lagi masa lagi nonton tiba2 sub indonya hilang,5
"baru download, sudah berlangganan juga tapi gak bisa untuk nonton padahal sudah berlangganan. ini gimana sih? udh gitu loadingnya suka lama padahal biasanya internet bagus-bagus aja. mending nonton ilegal dari pada disini, sayang duitnya.",1
i can't log in,1
"Bagus, gratis juga",5
Lagi asik nonton kok tiba² gak keluar video nya hanya suara aja yg kedengar min,2
Gajelas ni aplikasi orang dpet bonus dri telkomsel malah gabisa login najis anjggg,1
Mantap appk,5
APLIKASI CACAT TIDAK JELAS... TIDAK BERGUNA,1
aplikasi broken,1
Aplikasi mantap,1
"Udah download film, terus pas ditonton sampe menit 30 aman, tapi setelah itu layar malah hitam semua padahal suaranya ada.",1
Butut,1
kenapa susah banget buat login,1
"Baru kali ini jumpa apk yang login nya ribet kali, udah pas password nya, gamau masuk, kemudian kdg ada muncul notifikasi (kode negara tidak didukung), ampas bgt, doa nya semoga bisa diupgrade jadi lebih baik",1
"Beli paketan Telkomsel yang sudah termasuk langganan Prime Video. Namun saat login dengan nomer handphone Telkomsel nya, akun tidak ada. Saat daftar dengan nomor tersebut, nomornya sudah digunakan??? Jadi tidak jelas!!",1
good for enjoying,5
Koleksi nya bagus bagus... Tapi... Sangat sedikit subtitle Indonesia maupun melayu...,2
"Aplikasi tidak bisa dibuka lagi. ""Download persistence not rediable"" terus.",1
Sangat menghibur,5
Byk bugnya,3
Cool features,5
Sebagian besar filmnya original dan tidak ditemui di ott yang lain,5
Apk baaaabbbbb1 daftar aja susah,1
tidak bisa login,1
"gagal terus log in dengan kode nomor telepon Indonesia, Pakai Email password gagal terus padahal betul begitu reset minta nama lengkap masih gagal juga",1
Kreen,5
Suara terlalu kecil,1
Sekarang sering banget Service Unreachable. Terus ke close aplikasi dan kita gak bisa nonton. Solusinya cuman satu hapus aplikasi terus download ulang. Tapi setelah di download keulang lagi service Unreachable. Ini gimana bisa nonton. Layanan nonton tapi service Unreachable. Kasian.,1
Aplikasi terbaik,5
Mantap,5
Mantap,5
Kenapa gabisa login pake nomor kode negara Indonesia?,2
"bahasa nya nge bug mulu, padahal mau nua original inggris, tapi nge bug ke bahasa latin mulu, ah mending netflix.",2
"sangat jelek karena percuma taruh drama/tayangan series kalau tidak bisa ditonton.. contohnya tayangan chicago police department.. pada aplikasi, ditulis smpai season 11, tetapi pas dibuka, season 10 dan 11 tidak bisa ditonton karena video tidak tersedia..yg tersedia hanya sampai season 9...",1
apk paling gajelas,1
Mantap,5
Sudah login tapi transaksi langganan tidak bisa,1
Mau daftar akun aja ga bisaa.. uda 2 kali coba uninstall app jg gagal. Buat akun kok bolak balek eror,1
cukup membantu,3
"Saya telah mengaktifkan langganan prime melalui Telkomsel, tetapi di dalam aplikasi nya tetap tidak berlangganan. Padahal jika dicek dalam web, saya sudah berlangganan",1
+62 tidak didukung maksudnya apa ya? bisa daftar nggak bisa login. Aneh.,2
"Padahal udah berlangganan tapi masih belum bisa menonton, tolonglah prime",2
Hiburan yang menyenangkan,5
Ada beberapa film yg tidak bisa ditonton keteranganya: Video ini saat ini tidak tersedia. KECEWA...,3
Tiba tiba gak bisa masuk akun karena dikunci sementara.. Ckckckck.. Padahal gak diapa apain..,1
Good,5
aplikasi ribet,1
Excellent app.,5
"Mau nonton sulit, cara daftar dipersulit",1
Maaf,1
Overall bagus si Cuman tahun lalu itu sempet ngalamin ga bisa login ampe beli subscription 3 kali angus sia sia gtw kenapa,5
Bagus. Saya Suka Film nya oke. Cuma Agak Mahal ya Langganannya.,5
😻😻😻,5
Suka 😍😍,5
"login susah, dah dapat pkaet 1 bulan tapi tidak bisa menonton",1
"Emang parah x ini apk, udah berlangganan, mau akses yg error ini itu lah, video gak bisa di puter, bug sana sini' video gelap_ rugi berlangganan_",1
Gud,4
Gambar jernihh 👍👍👍,5
Iklan film lain memang tidak apa namun akan lebih baik notifikasi untuk melewatinya bisa diperbaiki,4
Aplikasi ribet daftar nya aja susah,1
gak bisa daftar,1
Banyak film Indonesia menarik disini,5
"Kebanyakan kesalahan internal susah login kecewa berat padahal sudah langganan pertahun, pas mau login susah nya minta ampun",1
aplikasi burik login aja di lamain bgt gajelas,1
Filmny menarik,5
apasii taii login aja susah bangat kalah2 susah login ke akses negara aneh apk buat nonton tapi pelanggan dipersulit,1
Siapa hayoo yg download karena dapat gratisan dari Telkomsel 😂,5
sementara ini film-nya oke2,5
Cara pasang Pazle nya aja udah ribett bngett mlah nggak bisa².,1
"Udah bikin akun dan bayar, tiap mau login selalu tidak bisa, akhirnya hangus",1
"Ini aplikasi jelek perlu di perhatiin lagi, yah walaupun begitu terimakasih sudah buat series the boys, gokil",3
"Bagus selama dipake, belum ada kendala",5
"bagus, gak pernah ngelag, tapi saran mungkin tiap bagian ganti subtitle jangan otomatis keluar, dan perbanyak lagi animasi dubbing indonesia dan tambahkan film² lagi.",5
Tambahin film yang terbaru,4
Bagus,4
Sangat meningkat,5
Setiap mau nonton film selalu ada iklan cuplikan film lain. Buang-buang waktu,1
Bagus Tapi mau Masuknya ribett,5
I have already purchased a subscription but still can't watch on the Prime app on my mobile. What should I do?,1
"Saya berlangganan halo+bold 180 k, disitu d tulis sudah termasuk langganan prime vidio 12 bulan, tp skrg pas buka kenapa ada tulisan langganan anda melalui telkomsel id d tangguhkan harap isi ulang akun telkomsel id anda untuk melanjutkan, maksudnya gimana itu ya?",3
"APLIKASI TERIBET YG PERNAH SAYA COBA. gak di hp, gak di tv sama ribetnya. Di hp padahal udah langganan,masih saja ga bs kepake.udah ikutin petunjuk login dsb tp msh ga berfungsi.error,error dan error. Beli paket nonton secara terpisah dan trnyata kode yg di dpt dari sms nomor 97080 link nya malah ga berfungsi semestinya.ribet pokoknya!! Di tv juga ribet gila,udah log in lewat mobile dan register device di tv trus giliran mau berlangganan malah diarahin kesana kemari.pdhl udah register krtu debit",1
Layar hitam dan saya tidak bisa menonton sama sekali,1
"Log in error internal, I can't sign in all devices",1
Ind(+62) tidak didukung Koq bisa,1
Sering eror,1
Bagus sekali,5
tidak bisa login dan susah diputar padahal sudah bayar berlangganan,1
Halo ini kenapa ya saat menggunakan nomor Indonesia tulisan nya tidak mendukung nomor negara ini ?,1
Filmnya lumayan lengkap Trus gampang cara download nya Yg penting berlangganan aja,5
Upoint CS da best lah,5
Aplikasi bug 🤬,1
Tidak bisa mendaftar akun baru. Ribet 2x verifikasi tdk ada berhasil. Kembali lagi ke halaman daftar akun baru,1
"Susah buat login padahal sudah terdaftar melalui Telkomsel, aplikasi ribet!!!",1
Kenapa di device saya tidak biaa outar film karena sambungan proxy atau vpn. Padahal di tv dan hp tidak ada aplikasi vpn,1
Drakor nya d update yaaaa min 😊😊😊😊,5
di persulit padahal baru download mau bikin akun belibet banget cape login doang,3
"selalu gak bisa login kode negara tidak sesuai,ngapain masukin Indonesia kalo gak bisa f pakai kode +62 nyah",1
Fun exciting entertaining,5
kelebihan membeli paket data dari telkomsen salah satunya bisa dapet langganan prime video selama 30 hari. Tontonan di prime juga seru2 dan ga ada lemot sama sekalii. Selalu sukaaa,5
"jangankan untuk nonton, mau login saja sulit. kode negara tidak bisa digunakan, terus ngapain nomor +62 bisa daftar di web. tapi pas login apk gabisa. udah gabisa berkata-kata. ribet, bintang 1.",1
"Saya sudah membayar langganan dengan nomor Indonesia, tapi kenapa tidak bisa login menggunakan nomor telepon Indonesia..?",1
"buat akun sangat susah, verifikasi yg tidak jelas, login juga susah, aplikasi bodoh",1
App kocak ga bisa pake kode negara Indonesia padahal pake nomer sendiri,1
Joss lah...gratis walaupun cma selluler,5
Bagus bgttt,4
"Bintang 3 dulu ya,karena belum semua subtitle nya bahasa Indonesia.. ada beberapa film yg gak ada sub nya kan jadi gak ngerti nontonnya. Apalagi film india. Tolong diperbaiki,semoga semua film ada sub nya.",3
"subcribe langsung dengan data sendiri , 1 hari akun lenyap di lock temporary..apakah kerjaan anda memang seperti scammer?",1
Ok,5
sia2 ternyata harus beli ...... ?!?,2
Kualitas gambar keren suara jerni film juga lengkap pas banget dengan honby nonton makasih,5
Woi ini aku gw di tangguhkan gimana buka nya lagi 🤬 susah kali bah Ampas kali lah bisa-bisanya di tangguhkan akun gw,1
Aplikasi jelek jngn download. Gua dapat gratis dari Telkomsel. Tapi saat login kata sandi salah. Pas di reset akun gua di kunci. Udah satu minggu tetap dikunci ga bisa reset password Ini aplikasi terparah yang gua download. Sia-sia gratisan Telkomsel gua ajg,1
kurang,4
Kecil suara app nya,1
Film the Hobbit & lotr kasih subtitle Indonesia dong,4
Tingkat kan trus kwalitas nya Dapat langganan trus dari Telkomsel,5
Ini login ke aplikasinya gimana sih ?,1
Bagus,5
Aplikasi ribet asu,1
"Banyak subtitle tidak pas, dan kualitas kurang",1
"Aplikasi paling sulit, daftar saja susah, asli ini aplikasi jelek",1
Login gagal mulu,1
Keren,5
Kurang banyak filmnya,3
Tayagin kung fu panda 4,5
"Sangat bqgus sekali, banyak film nya buat hiburan",5
"Susah login, ribet",1
"Susah masuk, aplikasi sampah",1
gabisa bikin akun,1
"I can't log in, and reset. So annoying. The night go to other streaming app",1
metode pembayaran nya ribet dan susah,1
"Aplikasi ribet, mau login malah ga bisa bisa tulul",1
"Mau login malah lewati chapta, mungkin karena gw hapus akun di pengaturan Ribet",1
"Apk nya ribet, gausah pake",1
GA BISA LOGIN..... SUSAH BNGT GA MAU LOGIN... KNP SEH GA SAMBUNGKAN KE GOOGLE APA FACEBOOK AZ... RIBEEEET,1
Bayar via playstore jadinya malah tambah ribet mesti report bertele2. Padahal uang sdh terpotong buat langganan tp tidak terdeteksi. Malahan bikin akun dikunci. Kacau ini aplikasinya!,1
Aplikasi gila mau daftar susah banget ribet gak kayak apk nonton lainnya aneh emang nih apk,1
Susah bgt mau log in Gagal trs,1
Apk teribett untuk login hufft,1
Ribet !,1
Ribet amat login nya,1
Gua dapet langganan prime video dari Telkomsel dan gua mau pake eh g bisa login pake +62? Apa banget anj stresss apk g jls,1
telkomsel tipu²,5
Error terus pas mau login,1
masa gambar nya tiba tiba ga muncul ? layar item semua tapi suara jalan,3
mantap,5
Apkny gjls udh login dan udah kasih kode lewat email malah gabisa🙄,1
Mau login saja susah anj***,1
"Sudah bayar berlangganan tapi tidak bisa login. Infonya kode telpon +62 tidak terdaftar. Padahal di website bisa, giliran mau nonton diwebsite dialihkan terus ke apk. Tapi lewat apk tidak bisa login. Jadi percuma sudah bayar tidak bisa dipakai!!",1
"Mau log in aja susah banget ,mana respon kode OTP ga jelas kapan dikirimnya",1
Susah amat mau login,1
Ok,5
"Login susah. Kadang beli paket dari Telkomsel dpt gratis nonton tpi ga bisa di pake. Pas log in, kode negara tidak dikenal. Paan sih",1
"Aneh, tidak bisa bikin akun baru di aplikasi ini.",1
udh berlangganan gabisa nonton.,1
Cara log in ribet,2
dapat free dari telkomsel udah berbulan bulan dapat.. baru kali ini coba pakai.. udah download.. daftar susah2 eeehh gak bisa ke buka.. katanya kode negara +62 gak bisa.. eh ini bagaimana ceritanya... parahhhhh,1
"Sulit untuk daftar account,",1
"Sangat menyenangkan menggunakan aplikasi ini, terutama bagi pengguna Telkomsel mendapatkan akses gratis. Namun ada bug yang menggangu yaitu pada waktu film yg di download kurang 30 menit film berhenti dan buffering sampai waktu yang tidak ditentukan. Sehingga harus menghapus download dan menonton dengan paket data",1
Ribet untuk login,1
Kenapa nggk bisa log In?,1
"Aplikasi gakjelas tiba tiba ga bisa login karena akun nya di non aktifkan, padahal sebelumnya bisa..uninstal",1
"Taik, katanya paket nonton udh aktif, bonus dr pembelian paket internet telkomsel, tp ini gak bisa log in, kode negara anda tidak mendukung katanya",1
"Jelek banget, suka ngelag padahal punya paket dan berlangganan, aplikasi tau💩",1
SDH ad akun amazon. Gratis ntn 1 bulan dr Telkomsel. Tp g BS login ke aplikasinya.. pret,1
Logiknya susah,1
Mrap,5
My account got suspended for no reason. I pay the bills but got suspended just because I'm not open the apps??? Ridiculous,1
aplikasinya bagus bnget buat nnton nntonn,4
Susah log in,1
kok gabisa login sih malah muncul kode +62tidak di dukung,2
"Tambah filmnya seperti adventure time,rick and morty, family guy dan series kartun lainnya",5
Pilihan videonya kurang menarik,3
Can you help me? I already pay the prime but still can watch and it keep ask for subscribe and buy,3
Oke oke oke,5
"Bagus,banyak film baru",5
aplikasi susah login,1
Sippp film keren keren tolong upgrade lagi film film box-office yang bagus bagus,5
Kualitas video nya tidak jelas padahal jaringan bagus,1
aplikasi busuk mau login aja stengah mampus,1
Ribet banget mau konek tv aja ngatur nya harus pake pengaturan di hp dlu,2
Mau login ajah ribetnya minta ampun😭,1
Aplikasi rwt ... ruwet,1
Masuk / daftar aja ribet anying!,1
Susah untuk buat akun sudah coba berkali-kali masih tidak bisa,2
Susah login,1
Good job,5
Sudah bayar dan berlangganan tp tidak bisa di buka semua film nya.,1
"Berlanggan aja dipersulit Kita kan bayar .. Gara2 ditv ada ya prime klo ada yg lain juga beralih ke yg lain , gak guna komplen dsni gak ada pembaruan",1
Kenapa +62 tidak di kenal saat log-in,1
"Aplikasi nya terlalu dan sangat sangat buruk, susah log in, apalagi kalau aplikasi sudah update ,",1
"APLIKASI YANG SANGAT BURUK JELEK GAK GUNA , MAO BERLANGGANAN BERTELE TELE , SUDAH BERLANGGANAN PUN TIDAK BISA DI GUNAKAN DI TV ANDROID TERLALU SULIT",1
"Ga bisa masuk, pake wilayah +62",1
"Apk murahan ribet banyak maunya, daftar berkali2 ga bisa2, kompetitornya malah gampang2 banget cara daftarnya simple ga kaya prime vidio",1
Aplikasi bikin emosi sumpah mau daftar aja ribet dan nga jelas,1
"Aplikasi yang paling ribet, awal mau daftar saja ribet.",1
Ini udah beli paket aktifin lewat web. Login di aplikasi tidak ada kode OTP masuk. Ini tidak ada costumer service apa. Inj aplikasi paling ribet cuma buat login saja. Lebih enak aplikasi lain,1
"Gak jelas bgt sih, log in user barunya susah bgt. Ampun gal banget nih aplikasi. Kesalahan internal mulu. Bikin emosi, create user doang.",1
Ini udah langganan tapi kode negara +62 tidak di dukung. Gimana nih. Aplikasi paling ribet buat login. Di banding aplikasi lain,1
Login nya susah udh lh lama login masuk pun lama👎🏻👎🏻👎🏻,1
"Gw kesel sama iklannya, udah bayar juga masih dikasih iklan mulu",1
Sudah langganan tapi gabisa muter video dan tetap suruh bayar lagi,1
Aplikasi tolol gabisa login,1
Susah login,1
Apk Taiiiiiiiiiiiiiiiiiii,1
sudah berlangganan saldo gopay sudah kepotong tp ttp gabisa di tonton aneh,1
"Salah satu aplikasi ott yang cukup terjangkau karena dipaketin sama paket internet,walau itu cuman dapat versi mobilenya saja sih...ga tau kalau paketnya sudah ga ada lagi,masih mau lanjut langganan atau tidak...tapi saat ini lagi nikmatin original contentnya",4
"sya gk bisa dftr akun, kalau saat minta otp ke no ponsel selalu gagal",3
Mau daftar susah banget.... Dpt gratis prime dri telkomsel tpi mau daftar gak bisa2...,1
Dapat gratis dari telkomsel tapi tidak bisa digunakan. Ribet sekali aplikasinya,1
Udah berlangganan di Telkomsel tapi pas daftar pake nomor telkom gagal terus,1
Lawaaakkk woi amazon apa ini maksudnya kemarin bisa daftar ini gw mau dadtar ulang ditulis +62 tidak didukung dan untuk kode verifikasi OTP nya gak dikirim kirim lewat SMS Benerin woi gw udah langanan!!,1
Tidak dapat login dengan alasan kode +62 tidak didukung. Fitur Lupa password juga tidak bisa digunakan,1
Alpikasi yang baru kali ini bikin kesabaran habis!!! Susah banget mau masuk akunnya! Langsng aku uninstal meskipun aku dah beli langgangan 1 bulan!!!,1
Asu login raiso iso dlogok,1
gajelas gabisa masuk,1
"Setiap bulan harus login ulang dan login pun super ribet. Kode top tidak masuk, email tidak terdaftar. Henghinghong",1
"susah banget login, katanya di indonesia tidak tersedia",1
Aplikasi sampah loginnya susah banget nomor +62 tidak didukung lah terus kode verifikasi gapernah dikirim padahal password ingat udah dimasukin password dia suruh masukin kode verifikasi lagi terus ga masuk masuk kodenya gabisa login udh berapa Minggu gitu terus kadang minta kode verifikasinya tidak diberi kejelasan cuma black screen terus ada kolom wajib diisi saya gatau itu apa tapi kayaknya kode verifikasi tolong dong diperbaiki susah login dengan nomor seluler ini,1
aplikasi prime video makin ancur g seperti dulu..,1
Gtw mles gw,1
Menyenangkan,5
Pilihan film cukup banyak dan bagus2,4
mantap dan menghibur,5
"aplikasi yg aneh, ngecek profil saja minta login, giliran mau login malah minta akun yg aktif terdaftar, gimna enggak edan nih aplikasi. login via desktop juga gagal terus. mending langganan yg lain saja.",1
"Aplikasi yg sangat ribet, sejak di download susah untuk login, pdahl udah daptar paket bulanan, tapi aplikasinya sma sekali gk bisa digunakan, pake vpn pun gk bisa",1
"sengaja berlangganan prime, agar bisa nonton series yang incaran... tapi malah ga di beri akses juga. Entah kenapa 🤔",1
Saya kecewa baru kemarin perbarui perpanjangan prime video masa hri ini mau nntn gak bisa.. gak kaya Netflix.. 😒😒,1
Kalo bukan karena saya salah beli kouta gw ga bakal download lu,1
"Tidak bisa buat akun, lalu gmn caranya mau nonton? Kocak lu",1
Selama masih ada gratis vip dari paket telkomsel sih Oke banget 😌☕😆,5
Great,5
Kurang lengkap jika mau menonton film Indonesia,5
"Susah login,, -0-0-0",1
"Registering an account is very, very difficult, I've tried several times but it still doesn't work",1
Saya sudah langganan bisa nonton,4
Kenapa tidak bisa mendaftar??,3
💩💩💩,1
Ngk jelas,1
Sudah beli langganan tpi tetap tidak bisa nonton yang vip,1
"Dapet paket gratis dari tsel, tapi ga bisa masuk dengan alasan kode +62 tidak tersedia",1
Bagus filmnya dapet paketan dari Telkomsel yg Combo lumyan,5
"Murah meriah. Semoga tetap terjangkau, jangan kayak sebelah",5
Malesin..tiap memperpanjang masa aktif susah banget. Udah aktif katanya tapi giliran diputar malah suruh bayar lagi. Ribet ..,3
seru,5
Astaghfirullah,1
Sangat kecewa dengan aplikasi ini kenapa login nya di persulit sih :(((,1
Suka muncul layar hitqm dengan suara,4
Apk ppk mau login gabisa,1
"Ayo lah, banyakin dong film-film box office nya, jangan kalah dgn aplikasi sebelah !",4
Gajelas bgt demi apapun.,1
"Apalah udah berlangganan eh malah gak ada film yang di cari, padahal film nya lumaya lama keluar tapi gak ada, nyesel bet download dan langganan disini, bintang satu",1
Okelah,5
"Tidak ada pilihan resolusi ketika menonton video, subtitle masih sering bug, subtitle indo bahasanya terlalu baku",3
Kok bisa film berbau LGBT di siarkan dlm bentuk film kartun.,3
"Saya beli paket telkomsel yang include dengan langganan primevideo 30 hari. Paket saya masih aktif tapi langganan prime video tdk aktif, padahal saya sudah claim sms paketnya dan terdapat keterangan paket prime video masih aktif, tapi ketika buka aplikasi primevideo. Malah diminta berlangganan..",1
Film gk bs dicepetin. Gak ada fitur zoom.,4
"Filmnya bagus2, gambarnya jernih dan nyaman di tonton tidak ada iklan.. manttapp",5
"Sekarang sistem pembayarannya bermasalah. Saya mau masukkan langganan ke akun saya, kenapa alamatnya itu selalu ke negara Jepang, sedangkan ke Indonesian saya tak bisa ubah? Wah udah, saya pindah layanan streaming.",1
"TEEN WOLF KNP UDH GA ADA D PRIME PADAHAL DOWNLOAD BUAT NONTON ITU JUGA GA LENGKAP"" BANGET SERIES NYA ADA TERBATASNYA SEASON YG TIDAK BISA DI MAINKAN ALIAS TULISANNYA VIDEO TIDAK TERSEDIA",4
jangab di download dah. gua udah berlangganan malah filmnya gabisa di buka,1
Nice apps. Thank u,5
Harat Banar aplikasi ngini,4
GOOD App & Usefull,5
"Loading aja terus, percuma berlangganan kalau cuma beberapa hari aja yang bisa di rasakan👎🏻",1
Not reccomended,1
Baik,5
Nice,5
Mayan sepaket ama internet sakti,5
"Pas registrasi bintang 1, sulit, untung ada link langganan dari Telkomsel registrasi lewat situ lebih mudah",5
"aplikasi yang sangat sangat buruk, kalau ada bintang di bawah satu pasti saya kasih bintang di bawah satu",1
Mantap,5
Terima Kasih,5
"udah berlangganan tapi masih tetap ada IKLAN, bro really??? ya aku tau itu bisa di skip tapi itu masih sangat mengganggu, dan satu lagi sering terjadi bug pada subtitle dimana subtitle tidak muncul dan harus di setting kembali ke menu subtitle agar bisa muncul kembali dan itu sangat repot, bintang 2 🌟🌟 untuk sekarang, kalau bisa lebih improve pasti bakal lebih bagus",2
burukk,1
Seru,5
Kereen,5
filmnya bagus-bagus,5
Download karena mau nonton Lol Indonesia tp mau log in saja g bisa.,3
"Untuk yang mengalami layar hitam dan hanya terdengar suara ketika memutar video, silahkan dicoba untuk me-restart hp yang digunakan, karena saya juga mengalami bug seperti itu dan ketika sudah di restart hp nya bisa normal kembali. Mohon kedepannya untuk dilakukan perbaikan, terima kasih 🙏",5
"Ini aplikasi apaan ya, setiap mau daftar baru selalu kesalahan internet padahal pakai wifi , di coba ampe 10x pas nunggu otp sms langsung eror. Aplikasi busuk ini jangan di download rugi",1
Mantab,5
Susah untuk mendaftar Apk jelek Webnya lelet,1
Buat akun dam log in saja susah,1
"Aplikasi yg ribet yg pernah saya download, tidak seperti yg lain mudah bgt log in di tv android, ini susah bgt, kalaupun bisa tersambung pengendalinya tetap saja dari hp. Cukup saya langganan 1 bulan saja, kapok.",1
"Aplikasi dengan cara daftar yg paling ribet. Opsi bikin baru tulis nama, setelah diisi, keluar notif alamat dan ponsel tidak terverifikasi. Lalu kesalahan internal, dsb. Aneh ni aplikasi",1
Mau buat akun aja ribet & susah amat sih!!!,1
Parah tdk bisa buat akun dan masuk,1
sumpah ini aplikasi tersampah ....,1
Aplikasi nonton yang paling bagus,5
Susah kalo mau buat akun baru,1
Ok..sangat bagus .....tp filmnya.....jadul.....,5
Sudah berlangganan tapi aplikasi tidak terupdate tidak bisa menonton film,1
Bagussss,5
Amazing world in one prime.... Thank you very very verymuch amazon prime video,5
Amazon Prime Video milik Jeff Bezoz sungguh mantap Djiwa,5
Joss gandhos...,5
Akun ku kena Suspen anjir karna g masukin kredit card,1
Sayangnya tidak bisa melihat film atau series yang akan datang,4
Owesome,5
"Mana ada aku pakai vpn bbgstt, bjir lah kata gue teh",1
telkomsel sering sering kasih gratisan plis,5
Mantap,5
Susah banget mau login,1
Good,5
Aplikasi video paling top.. Sampe² login aja nggak bisa.. Buruan download biar kesel + nyesel bareng² 🤣🤣🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,5
Susah login,1
Ui sampah bikin bingung,1
Good,5
Keren,5
Susah banget buat login,1
Sangat bagus,5
Sudah upgrade dan bayar tapi tetap sulit aktivitasinya di telivisi... Makin ribet prime video sekarang,1
Update film terbaru,5
"Aplikasi tidak jelas,sangat sulit untuk masuk ke dalam aplikasi nya",1
"Aplikasi prematur banyak bag dan error' aplikasi korup !!! Dapet gratis nonton 30 hari dari Telkomsel pas mau login kayak nya akun gue di Jon aktifin atau di blokir dari pihak prime vidio gara² ngasih rating 1 tiap login pake no telfon di tolak Mulu emang jelek kali yaa ini aplikasi aneh gimana mau make gratisan nya kalo ga bisa login , pake Gmail no telfon juga kaga bisa",1
sangat membantu karena sudah berlangganan,5
"Deskripsi nya tidak pas , tulisan nya 99 menit pas di play 1jam49 , itu 109 kelues",3
apk tolol,1
"Isinya tidak menarik, dan akun saya ditangguhkan tanpa alasan yg tidak jelas, padahal saya dpt free dari telkomsel.",1
"Saya sudah berlangganan tapi masih tidak bisa menonton video di aplikasi nya dan ada tulisan "" dapatkan langganan di situs web amazon untuk menonton judul ini"" loh fungsi saya bayar di aplikasi apa ? Kalo harus tetap bayar di web juga",1
Bagus,5
"Login susah banget, pas berhasil malah tiba tiba logout katanya ada aktivitas tidak biasa disuruh hubungi cs, nyebelin banget",1
"Kualitas vidionya bagus, teks dan audio sesuai. Mantaplah..",5
Entertaining,5
"Saya tdk bisa login, ada berlangganan dari telkomsel tapi saat ingin nonton tdk bisa. Saya log out dan sign in lagi tdk bisa2 Mohon dibantu",1
Men are brave (I'm Batman) 🦇,5
tolong dipercepat update nya untuk serial jujutsu kaisen hehehe,5
Bagus,5
Susah betul metode pembayaran.. Aplikasi SUPER KAKU,1
"tolong dong perbanyak lagi film"" nya mau yang udah lama atau yang baru kayak naruto, avengers series dan lain""",4
Tidak bisa login sudah langganan kacaw dunia persilatan,1
"Sudah payment member, sudah bayar malah minta bayar lagi",1
"Mau login aja susah sekali , tolong diperbaiki kaualitasnya",1
Mau daftar aja di persulit bb,1
gagal login terus,1
"Bagus ,tdk tersendat dan ada teks bahasa Indonesia",5
"Apps error after update, and so complicated to try to fix it",1
"Susah banget log in nya, dipersulit. Gajelas ah kesel. Langsung un instal lagi deh 😵",1
Gak ada obeng,5
"Menyulitkan user menggunakan aplikasi, buat akun sm loginnye ribett",1
Bagus bagus filmnya,5
Tidak bisa login kode negara tidak mendukung,1
MAU DAFTAR/LOGIN AJA SUSAH BANGET. KESALAHAN INTERNAL TERUS,1
"Film nya gk lengkap, banyak film indo yg terhitung juga udah lama rilis gk ada disini",2
Apk apaan login aja susah knpa sih telkomsel mau bekerja sama sama nih aplikasi,1
Aplikasi Movie terbaik,5
Susah banget login ulang nya padahal dapat free dari tsel selama 1 bulan.. Sengaja isi paket pake telkomsel biar lanjut.. kok malah gak bs lagi. 😵,2
"Dapet gratisan telkomsel tapi gabisa login, otp salah, error, banyak lah. Skip mending hotstar",1
Saldo dana sudah kepotong Tapi tidak bisa nonton,1
Error,1
Aplikasi sampah,1
Okee,5
"mau daftar pake no hp kok gabisa aja sih heran banget, aku beli paket yg seminggu di telkomsel aja masih susah bgt daftarnya.",2
Sudah memuaskan,5
Can't login,1
Aplikasinya bagus ngk kalah sama yg sebelah..saran aja semoga banyak film film Hollywood yg di dubbing dan Semoga series the lord of the rings 2 ada Dubbnya kaya S 1 kemarin....😁😁,4
Langganan saya tidak aktif aktif padahal SDH melakukan pembayaran,1
"Aplikasi nya aneh, tiba2 gak bisa log in lagi padahal sudah daftar langganan paket",1
Tidak dapat login,1
Semoga menjadi aplikasi terbaik. Terima kasih,5
"payah buat loginnya sulit bngt, hadehhhh payah bintang 1 aja lah klo adq setengah gw kasih setwngah",1
"Wkwk aplikasi macam apa ini gak bisa login ""Kesalahan Internal"" ""Coba lagi nanti"" ""Kode nomor +62 tidak didukung"" lawak cik",1
Saya Sukaa,5
Sudah login tapi tetap blm berlangganan ga bisa nonton apa2 padahal sudah beli paket langganan,1
gak sabar nunggu live action nya like a dragon yakuza,5
"Mantap seru , sarannya lebih ditambahkan film nya dan teks nya",5
Lucu banget giliran belom beli paketan Indonesia terdaftar pas beli paketan Telkomsel Indonesia udah engga terdaftar lucu juga cara nyari duitnya miskin amat ya wkkwkwk,1
"Akun dikunci sementara sudah seperti dikunci permanen, sangat sulit membuka akun. Sudah mencoba masuk berkali-kali tapi hanya diulang-ulang terus. Aplikasi sampah👎",1
"Gak bisa login,gak jelas apknya lol padahal udah langganan",1
Saat ingin login masuk dan memasukkan nomor hp malah ter ulang dari awal dan sudah terjadi 2 kali masih saja begitu,1
Br download & baru menggunakan nie apps... Untuk skrg bgus & g ad masalah Cm sebatas tayangan yg menggunakan sub indo masih terbatas / kurang banyak..,5
Happy,5
Semoga tambah baik lagi,5
"Masi harus di tingkatkan ,agar saat menonton larnya fuĺl scren",4
"I want to watch my favorite film, and only in this application is the release of season 2. But this app seems to be broken, I can't register. The application crashed.",2
Kenapa kok ini gambarnya gak keluar. Cuman ada audio nya aja sama taks nya aja. Tampa ada gambar. Apa yg mau di tonton,2
